District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Baksa,'19.2',MVA Syringes,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.2',MVA Syringes,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.2',MVA Syringes,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.2',MVA Syringes,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.2',MVA Syringes,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,'19.3',Tab. Fluconazole,1. Balance From Previous Month,46700,NA,NA,NA,NA,39700,NA,NA,NA,NA,76300,NA,NA,NA,NA,66600,NA,NA,NA,NA,56100,NA,NA,NA,NA,31800,NA,NA,NA,NA,19800,NA,NA,NA,NA,14500,NA,NA,NA,NA,4900,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,NA,NA,NA,NA,300,NA,NA,NA,NA,358400,NA,NA,NA,NA
Baksa,19.3',Tab. Fluconazole,2. Stocks Received,0,NA,NA,NA,NA,40000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,40000,NA,NA,NA,NA
Baksa,19.3',Tab. Fluconazole,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.3',Tab. Fluconazole,4. Stock Distributed,7000,NA,NA,NA,NA,3400,NA,NA,NA,NA,9700,NA,NA,NA,NA,10500,NA,NA,NA,NA,24300,NA,NA,NA,NA,12000,NA,NA,NA,NA,5300,NA,NA,NA,NA,9600,NA,NA,NA,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA,NA,NA,NA,0,NA,NA,NA,NA,85300,NA,NA,NA,NA
Baksa,19.3',Tab. Fluconazole,5. Total Stock,39700,NA,NA,NA,NA,76300,NA,NA,NA,NA,66600,NA,NA,NA,NA,56100,NA,NA,NA,NA,31800,NA,NA,NA,NA,19800,NA,NA,NA,NA,14500,NA,NA,NA,NA,4900,NA,NA,NA,NA,2800,NA,NA,NA,NA,0,NA,NA,NA,NA,300,NA,NA,NA,NA,300,NA,NA,NA,NA,313100,NA,NA,NA,NA
Baksa,'19.4',Blood Transfusion sets,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.4',Blood Transfusion sets,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.4',Blood Transfusion sets,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.4',Blood Transfusion sets,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.4',Blood Transfusion sets,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,'19.5',Gluteraldehyde 2%,1. Balance From Previous Month,21,NA,NA,NA,NA,11,NA,NA,NA,NA,11,NA,NA,NA,NA,11,NA,NA,NA,NA,11,NA,NA,NA,NA,11,NA,NA,NA,NA,11,NA,NA,NA,NA,11,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,80,NA,NA,NA,NA,268,NA,NA,NA,NA
Baksa,19.5',Gluteraldehyde 2%,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,100,NA,NA,NA,NA
Baksa,19.5',Gluteraldehyde 2%,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.5',Gluteraldehyde 2%,4. Stock Distributed,10,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,11,NA,NA,NA,NA
Baksa,19.5',Gluteraldehyde 2%,5. Total Stock,11,NA,NA,NA,NA,11,NA,NA,NA,NA,11,NA,NA,NA,NA,11,NA,NA,NA,NA,11,NA,NA,NA,NA,11,NA,NA,NA,NA,11,NA,NA,NA,NA,10,NA,NA,NA,NA,110,NA,NA,NA,NA,0,NA,NA,NA,NA,80,NA,NA,NA,NA,80,NA,NA,NA,NA,357,NA,NA,NA,NA
Baksa,'19.6',IFA tablets ( Adult),1. Balance From Previous Month,133500,NA,NA,NA,NA,41940,NA,NA,NA,NA,28440,NA,NA,NA,NA,13440,NA,NA,NA,NA,7440,NA,NA,NA,NA,6440,NA,NA,NA,NA,544415,NA,NA,NA,NA,967815,NA,NA,NA,NA,502665,NA,NA,NA,NA,NA,NA,NA,NA,NA,194065,NA,NA,NA,NA,10675,NA,NA,NA,NA,2450835,NA,NA,NA,NA
Baksa,19.6',IFA tablets ( Adult),2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,753975,NA,NA,NA,NA,753900,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1507875,NA,NA,NA,NA
Baksa,19.6',IFA tablets ( Adult),3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.6',IFA tablets ( Adult),4. Stock Distributed,91560,NA,NA,NA,NA,13500,NA,NA,NA,NA,15000,NA,NA,NA,NA,6000,NA,NA,NA,NA,1000,NA,NA,NA,NA,216000,NA,NA,NA,NA,330500,NA,NA,NA,NA,465150,NA,NA,NA,NA,263600,NA,NA,NA,NA,NA,NA,NA,NA,NA,183390,NA,NA,NA,NA,0,NA,NA,NA,NA,1585700,NA,NA,NA,NA
Baksa,19.6',IFA tablets ( Adult),5. Total Stock,41940,NA,NA,NA,NA,28440,NA,NA,NA,NA,13440,NA,NA,NA,NA,7440,NA,NA,NA,NA,6440,NA,NA,NA,NA,544415,NA,NA,NA,NA,967815,NA,NA,NA,NA,502665,NA,NA,NA,NA,239065,NA,NA,NA,NA,0,NA,NA,NA,NA,10675,NA,NA,NA,NA,10675,NA,NA,NA,NA,2373010,NA,NA,NA,NA
Baksa,'19.7',IFA - Blue ( Adolescent 10-19 yrs),1. Balance From Previous Month,609095,NA,NA,NA,NA,451595,NA,NA,NA,NA,446595,NA,NA,NA,NA,279900,NA,NA,NA,NA,79300,NA,NA,NA,NA,664060,NA,NA,NA,NA,991020,NA,NA,NA,NA,976025,NA,NA,NA,NA,662025,NA,NA,NA,NA,NA,NA,NA,NA,NA,562020,NA,NA,NA,NA,291820,NA,NA,NA,NA,6013455,NA,NA,NA,NA
Baksa,19.7',IFA - Blue ( Adolescent 10-19 yrs),2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,930960,NA,NA,NA,NA,930960,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1861920,NA,NA,NA,NA
Baksa,19.7',IFA - Blue ( Adolescent 10-19 yrs),3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.7',IFA - Blue ( Adolescent 10-19 yrs),4. Stock Distributed,157500,NA,NA,NA,NA,5000,NA,NA,NA,NA,166695,NA,NA,NA,NA,200600,NA,NA,NA,NA,346200,NA,NA,NA,NA,604000,NA,NA,NA,NA,15000,NA,NA,NA,NA,314000,NA,NA,NA,NA,84000,NA,NA,NA,NA,NA,NA,NA,NA,NA,270200,NA,NA,NA,NA,56500,NA,NA,NA,NA,2219695,NA,NA,NA,NA
Baksa,19.7',IFA - Blue ( Adolescent 10-19 yrs),5. Total Stock,451595,NA,NA,NA,NA,446595,NA,NA,NA,NA,279900,NA,NA,NA,NA,79300,NA,NA,NA,NA,664060,NA,NA,NA,NA,991020,NA,NA,NA,NA,976020,NA,NA,NA,NA,662025,NA,NA,NA,NA,578025,NA,NA,NA,NA,0,NA,NA,NA,NA,291820,NA,NA,NA,NA,235320,NA,NA,NA,NA,5655680,NA,NA,NA,NA
Baksa,'19.8',IFA- Pink ( Junior 6-10 yrs),1. Balance From Previous Month,54000,NA,NA,NA,NA,36000,NA,NA,NA,NA,30000,NA,NA,NA,NA,21500,NA,NA,NA,NA,17500,NA,NA,NA,NA,12000,NA,NA,NA,NA,1422840,NA,NA,NA,NA,1308340,NA,NA,NA,NA,902840,NA,NA,NA,NA,NA,NA,NA,NA,NA,800840,NA,NA,NA,NA,592240,NA,NA,NA,NA,5198100,NA,NA,NA,NA
Baksa,19.8',IFA- Pink ( Junior 6-10 yrs),2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1482840,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1482840,NA,NA,NA,NA
Baksa,19.8',IFA- Pink ( Junior 6-10 yrs),3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.8',IFA- Pink ( Junior 6-10 yrs),4. Stock Distributed,18000,NA,NA,NA,NA,6000,NA,NA,NA,NA,8500,NA,NA,NA,NA,4000,NA,NA,NA,NA,5500,NA,NA,NA,NA,72000,NA,NA,NA,NA,114500,NA,NA,NA,NA,405500,NA,NA,NA,NA,79000,NA,NA,NA,NA,NA,NA,NA,NA,NA,208600,NA,NA,NA,NA,13250,NA,NA,NA,NA,934850,NA,NA,NA,NA
Baksa,19.8',IFA- Pink ( Junior 6-10 yrs),5. Total Stock,36000,NA,NA,NA,NA,30000,NA,NA,NA,NA,21500,NA,NA,NA,NA,17500,NA,NA,NA,NA,12000,NA,NA,NA,NA,1422840,NA,NA,NA,NA,1308340,NA,NA,NA,NA,902840,NA,NA,NA,NA,823840,NA,NA,NA,NA,0,NA,NA,NA,NA,592240,NA,NA,NA,NA,578990,NA,NA,NA,NA,5746090,NA,NA,NA,NA
Baksa,'19.9',IFA Syrup (Paediatric),1. Balance From Previous Month,23300,NA,NA,NA,NA,20800,NA,NA,NA,NA,19300,NA,NA,NA,NA,17500,NA,NA,NA,NA,14400,NA,NA,NA,NA,13700,NA,NA,NA,NA,11300,NA,NA,NA,NA,8100,NA,NA,NA,NA,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,NA,NA,NA,NA,110,NA,NA,NA,NA,134060,NA,NA,NA,NA
Baksa,19.9',IFA Syrup (Paediatric),2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.9',IFA Syrup (Paediatric),3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.9',IFA Syrup (Paediatric),4. Stock Distributed,2500,NA,NA,NA,NA,1500,NA,NA,NA,NA,1800,NA,NA,NA,NA,3100,NA,NA,NA,NA,700,NA,NA,NA,NA,2400,NA,NA,NA,NA,3200,NA,NA,NA,NA,3600,NA,NA,NA,NA,2600,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,NA,NA,NA,NA,50,NA,NA,NA,NA,22390,NA,NA,NA,NA
Baksa,19.9',IFA Syrup (Paediatric),5. Total Stock,20800,NA,NA,NA,NA,19300,NA,NA,NA,NA,17500,NA,NA,NA,NA,14400,NA,NA,NA,NA,13700,NA,NA,NA,NA,11300,NA,NA,NA,NA,8100,NA,NA,NA,NA,4500,NA,NA,NA,NA,1900,NA,NA,NA,NA,0,NA,NA,NA,NA,110,NA,NA,NA,NA,60,NA,NA,NA,NA,111670,NA,NA,NA,NA
Baksa,'19.10',Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),1. Balance From Previous Month,320,NA,NA,NA,NA,120,NA,NA,NA,NA,1340,NA,NA,NA,NA,3290,NA,NA,NA,NA,2690,NA,NA,NA,NA,19140,NA,NA,NA,NA,12740,NA,NA,NA,NA,9450,NA,NA,NA,NA,3730,NA,NA,NA,NA,NA,NA,NA,NA,NA,9130,NA,NA,NA,NA,4340,NA,NA,NA,NA,66290,NA,NA,NA,NA
Baksa,19.10',Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),2. Stocks Received,0,NA,NA,NA,NA,1470,NA,NA,NA,NA,2000,NA,NA,NA,NA,0,NA,NA,NA,NA,18240,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,23310,NA,NA,NA,NA
Baksa,19.10',Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.10',Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),4. Stock Distributed,200,NA,NA,NA,NA,250,NA,NA,NA,NA,50,NA,NA,NA,NA,600,NA,NA,NA,NA,1790,NA,NA,NA,NA,6400,NA,NA,NA,NA,3290,NA,NA,NA,NA,5720,NA,NA,NA,NA,6320,NA,NA,NA,NA,NA,NA,NA,NA,NA,4790,NA,NA,NA,NA,2060,NA,NA,NA,NA,31470,NA,NA,NA,NA
Baksa,19.10',Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),5. Total Stock,120,NA,NA,NA,NA,1340,NA,NA,NA,NA,3290,NA,NA,NA,NA,2690,NA,NA,NA,NA,19140,NA,NA,NA,NA,12740,NA,NA,NA,NA,9450,NA,NA,NA,NA,3730,NA,NA,NA,NA,-990,NA,NA,NA,NA,0,NA,NA,NA,NA,4340,NA,NA,NA,NA,2280,NA,NA,NA,NA,58130,NA,NA,NA,NA
Baksa,'19.11',Vit A syrup,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,NA,NA,50,NA,NA,NA,NA,50,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,10,NA,NA,NA,NA,260,NA,NA,NA,NA
Baksa,19.11',Vit A syrup,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1770,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1770,NA,NA,NA,NA
Baksa,19.11',Vit A syrup,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.11',Vit A syrup,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1720,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,0,NA,NA,NA,NA,1760,NA,NA,NA,NA
Baksa,19.11',Vit A syrup,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,NA,NA,50,NA,NA,NA,NA,50,NA,NA,NA,NA,50,NA,NA,NA,NA,50,NA,NA,NA,NA,0,NA,NA,NA,NA,10,NA,NA,NA,NA,10,NA,NA,NA,NA,270,NA,NA,NA,NA
Baksa,'19.12',ORS (New WHO),1. Balance From Previous Month,32900,NA,NA,NA,NA,15900,NA,NA,NA,NA,1200,NA,NA,NA,NA,2010,NA,NA,NA,NA,150,NA,NA,NA,NA,150,NA,NA,NA,NA,36150,NA,NA,NA,NA,46950,NA,NA,NA,NA,22050,NA,NA,NA,NA,NA,NA,NA,NA,NA,25800,NA,NA,NA,NA,2950,NA,NA,NA,NA,186210,NA,NA,NA,NA
Baksa,19.12',ORS (New WHO),2. Stocks Received,0,NA,NA,NA,NA,51000,NA,NA,NA,NA,87760,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,44400,NA,NA,NA,NA,24600,NA,NA,NA,NA,0,NA,NA,NA,NA,37800,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,245560,NA,NA,NA,NA
Baksa,19.12',ORS (New WHO),3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.12',ORS (New WHO),4. Stock Distributed,17000,NA,NA,NA,NA,65700,NA,NA,NA,NA,86950,NA,NA,NA,NA,1860,NA,NA,NA,NA,0,NA,NA,NA,NA,8400,NA,NA,NA,NA,13800,NA,NA,NA,NA,24900,NA,NA,NA,NA,15150,NA,NA,NA,NA,NA,NA,NA,NA,NA,22850,NA,NA,NA,NA,2800,NA,NA,NA,NA,259410,NA,NA,NA,NA
Baksa,19.12',ORS (New WHO),5. Total Stock,15900,NA,NA,NA,NA,1200,NA,NA,NA,NA,2010,NA,NA,NA,NA,150,NA,NA,NA,NA,150,NA,NA,NA,NA,36150,NA,NA,NA,NA,46950,NA,NA,NA,NA,22050,NA,NA,NA,NA,44700,NA,NA,NA,NA,NA,NA,NA,NA,NA,2950,NA,NA,NA,NA,150,NA,NA,NA,NA,172360,NA,NA,NA,NA
Baksa,'19.13',RTI /STI colour coded syndromic kits ( I to VII),1. Balance From Previous Month,1862,NA,NA,NA,NA,1502,NA,NA,NA,NA,1502,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,13922,NA,NA,NA,NA
Baksa,19.13',RTI /STI colour coded syndromic kits ( I to VII),2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.13',RTI /STI colour coded syndromic kits ( I to VII),3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baksa,19.13',RTI /STI colour coded syndromic kits ( I to VII),4. Stock Distributed,360,NA,NA,NA,NA,0,NA,NA,NA,NA,370,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,730,NA,NA,NA,NA
Baksa,19.13',RTI /STI colour coded syndromic kits ( I to VII),5. Total Stock,1502,NA,NA,NA,NA,1502,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,1132,NA,NA,NA,NA,1132,NA,NA,NA,NA,13192,NA,NA,NA,NA
